Countries/Year,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025
Risk of debt distress: ,External,Overall,External,Overall,External,Overall ,External,Overall ,External ,Overall ,External,Overall ,External,Overall,External ,Overall,External,Overall,External,Overall,External,Overall ,External ,Overall,External,Overall,External,Overall,External,Overall ,External,Overall ,External,Overall ,External,Overall,External,Overall ,External,Overall,External,Overall 
Afghanistan,,,,,High,High,,High,,,,,High,High,High,High,,,,,High,High ,High,High ,,,,,High,High,High,High,High,High,,,,,,,,
Bangladesh ,,,,,,,Low ,"""elevated""",Low,"""elevated""",,,Low,"""elevated""",,,Low,Low,,,Low,Low,Low,Low,,,Low,Low,Low,Low,,,,,Low,Low,Low,Low ,Low ,Low,Moderate,Moderate
Benin ,,,,,,,Moderate,Moderate,,,Moderate,Moderate ,Low ,Low ,Low,Low,,,,,,,Low ,Low,Moderate,Moderate ,Moderate,Moderate ,Moderate,Moderate,Moderate,Moderate,,,Moderate,Moderate ,,,Moderate ,Moderate,Moderate,Moderate
Bhutan ,,,,,Moderate,Moderate ,,,Moderate ,Moderate,,,Moderate,,,,,,Moderate,,,,Moderate,,,,Moderate,,,,,,,,Moderate,Moderate ,,,Moderate ,Moderate,,
Burkina Faso ,,Moderate ,,,,Moderate ,,,,High,,High,,,Moderate,Moderate,Moderate,,,,,Moderate,,Moderate,,,,Moderate ,,Moderate,Moderate,Moderate,,,,,Moderate,Moderate,Moderate ,Moderate,Moderate,Moderate
Burundi ,High,High,,High,,,In debt distress,In debt distress,,,,,High,High,,,High,High,,,,High ,,,,,,,,,,,High ,High,High,High ,High,High ,,,,
Cambodia ,,,,High,,Moderate ,Moderate,Moderate,,Moderate,,Moderate ,,Low ,,Low,,Low,,,Low,Low,Low,Low ,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,,,Low ,Low,Low ,
Cameroon,Low,Low,Low,,Low,,Low,,Low,,Low,,Low,,Low,,Low,,Moderate,,High,High,High,High,High,,High,,High,,High,High,High,High,High,High,High,High,High,High,High ,
Cabo Verde ,,,,,,,Low,,Low,,,,,,,,,,Moderate,,High,,High,High,High,,High,,High,High,High,High,High,,Moderate,High,Moderate,High,Moderate,High,Moderate ,
