Country,Year,PDF_URL,Source,Document_Title,Status,Notes
Afghanistan,2005,https://www.imf.org/external/pubs/ft/scr/2005/cr05371.pdf,IMF,IMF Country Report No. 05/371 - 2005 Article IV Consultation (Oct 2005),Needs Verification,DSA framework launched April 2005; this Article IV may include early DSA appendix | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2005/cr05371.pdf
Afghanistan,2006,https://www.imf.org/external/pubs/ft/scr/2006/cr06113.pdf,IMF,IMF Country Report No. 06/113 - Article IV Consultation (published 2006),Needs Verification,May be the 2005 Article IV published in 2006; verify if a separate 2006 DSA exists | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2006/cr06113.pdf
Afghanistan,2007,https://www.imf.org/external/pubs/ft/scr/2007/cr07232.pdf,IMF,IMF Country Report No. 07/232 - HIPC Initiative Preliminary Document (July 2007),Needs Verification,HIPC Decision Point reached July 2007 | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2007/cr07232.pdf
Afghanistan,2008,https://www.imf.org/external/pubs/ft/scr/2008/cr08153.pdf,IMF,IMF Country Report No. 08/153 - Article IV Consultation (May 2008),Needs Verification,Article IV for LICs should include DSA appendix | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2008/cr08153.pdf
Afghanistan,2009,https://www.imf.org/external/pubs/ft/scr/2010/cr1022.pdf,IMF,IMF Country Report No. 10/22 - 6th PRGF Review (Jan 2010),Needs Verification,Covers 2009 PRGF program review; published Jan 2010 | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2010/cr1022.pdf
Afghanistan,2010,https://www.imf.org/external/pubs/ft/scr/2010/cr1040.pdf,IMF,IMF Country Report No. 10/40 - HIPC Completion Point (Jan 2010),Needs Verification,HIPC Completion Point documents always include DSA | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2010/cr1040.pdf
Afghanistan,2011,https://www.imf.org/external/pubs/ft/scr/2011/cr11330.pdf,IMF,IMF Country Report No. 11/330 - 6th ECF Review + Article IV (Nov 2011),Needs Verification,Afghanistan at high risk of debt distress | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2011/cr11330.pdf
Afghanistan,2012,https://documents1.worldbank.org/curated/en/861161467992809463/pdf/664310BR0IDASe0Official0Use0Only090.pdf,World Bank,Joint Bank/Fund DSA Update (approved June 2012),Needs Verification,World Bank document; verify it covers 2012 specifically
Afghanistan,2013,https://www.imf.org/external/pubs/ft/scr/2013/cr1320.pdf,IMF,IMF Country Report No. 13/20 (Jan 2013),Needs Verification,Published Jan 2013; verify whether this covers 2012 or 2013 fiscal year | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2013/cr1320.pdf
Afghanistan,2014,https://www.imf.org/external/pubs/ft/scr/2014/cr14128.pdf,IMF,IMF Country Report No. 14/128 - 2014 Article IV Consultation (May 2014),Needs Verification,Article IV for LICs includes DSA appendix | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2014/cr14128.pdf
